1,,2,,3,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.)
21.14789581,8.913705826,21.18123055,8.767212868,21.21456337,7.518020153
21.26789474,8.68962574,21.30122948,8.520709991,21.33539581,7.83544302
21.39039421,8.749871254,21.42372894,8.444931984,21.45706177,7.686288357
21.51206207,8.919776917,21.5453968,8.464365959,21.57872963,7.541129589
21.63456154,8.879448891,21.66789627,8.433859825,21.70125008,7.76066637
21.75458336,8.739326477,21.78874969,8.413752556,21.82208252,7.71211338
21.87541771,8.788916588,21.90958214,8.559950829,21.94291496,7.654000759
21.99625015,8.929857254,22.03047943,8.740020752,22.06374931,7.770220757
22.1170845,8.953903198,22.15041733,8.551497459,22.18375015,7.831136703
22.23958397,8.821695328,22.27291679,8.527201653,22.30631256,7.716322899
22.36214638,8.900349617,22.39550018,8.486314774,22.42881203,7.706963539
22.48381424,8.923919678,22.51716805,8.495488167,22.55050087,7.567303658
22.60547829,9.107996941,22.63881302,8.689557076,22.67214584,7.78395462
22.72548103,8.440607071,22.75964546,9.02013588,22.79297829,7.441528797
22.8488121,8.7539711,22.88299942,8.631534576,22.91631317,7.658385277
22.97214508,8.746373177,23.00631332,8.4873209,23.03964615,7.731286526
23.09549904,8.684750557,23.12881279,8.6296978,23.16298103,7.870485306
23.21881294,8.767409325,23.25297928,8.661312103,23.2863121,7.85332346
23.34050179,8.923884392,23.37464523,8.669800758,23.40881348,7.796954155
23.46214676,9.150596619,23.4963131,8.527496338,23.5296669,7.62647438
23.58550072,8.866879463,23.61964607,8.674444199,23.65300179,7.789851665
23.70881271,8.8909235,23.74297905,8.725814819,23.77631187,7.707868576
23.83049965,8.517091751,23.86464691,8.745931625,23.89801979,7.810424805
23.95383263,8.612760544,23.98797989,8.578678131,24.02133369,7.713146687
24.07714653,8.727421761,24.11047935,8.8854599,24.14464569,7.926539421
24.19797897,9.003247261,24.23214531,8.595432281,24.26633263,8.149116516
24.32214546,8.939296722,24.35547829,8.430566788,24.38964653,7.832661152
24.44297981,8.817667007,24.47714615,9.019309998,24.51047897,7.658531189
24.56631279,9.145596504,24.60048103,8.734498978,24.63383293,7.495227814
24.68964577,9.022087097,24.7229805,9.049025536,24.75714493,7.726156712
24.81298065,8.880673409,24.84633446,8.930603981,24.88047981,7.77410841
24.93383408,9.169323921,24.96797943,8.995231628,25.00133324,8.059087753
25.05714607,8.857011795,25.0904789,8.866710663,25.12464523,7.587633133
25.17797852,8.93059063,25.21214676,9.092004776,25.24547958,7.670367241
25.29883385,8.937498093,25.3329792,8.752485275,25.36631203,7.909618378
25.42216682,8.820239067,25.45547867,8.932496071,25.48966599,7.721750259
25.5446682,8.751870155,25.57800102,8.691602707,25.61216545,7.601881027
25.66547775,8.882452965,25.69966698,8.91231823,25.7329998,7.374755383
25.78883171,8.785083771,25.82216644,8.768400192,25.85549927,7.777542591
25.91133499,8.807497978,25.94466782,9.093120575,25.97883224,7.978274345
26.03299904,8.700033188,26.06633377,9.053851128,26.0996666,7.843827724
26.1554985,8.525061607,26.18881226,8.925815582,26.22216606,7.699261665
26.27800179,8.873216629,26.31131172,9.104984283,26.34466743,7.660655975
26.40050125,8.780399323,26.4338131,9.27173996,26.4671669,7.848680973
26.52050018,8.882860184,26.55466652,9.111994743,26.58800125,7.807369232
26.64381218,9.064814568,26.67716599,8.901661873,26.71050072,7.770606518
26.76383209,8.99081707,26.79716682,9.084955215,26.83133316,8.06880188
26.88633347,8.833626747,26.9196682,9.104511261,26.95300102,7.785440445
27.00883293,8.772089005,27.04216766,8.811771393,27.07550049,7.973495007
27.12883377,8.958174706,27.16300011,9.359897614,27.19633293,7.822086811
27.25133324,8.949913025,27.28466606,9.184414864,27.31799889,7.927845955
27.37383461,9.203604698,27.40716743,8.957649231,27.44133377,7.630424023
27.49633408,9.188435555,27.5296669,9.179229736,27.56299973,7.624363899
27.61800003,9.148260117,27.65133286,9.319259644,27.68466568,7.957177162
